Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	PolicyLoss	ValueLoss	Entropy	AvgKL	StopIter
71	441.79135	200.13734	688.3896	123.786995	618.7143	61.269062	14.151855	109.26739	-12.176511	355000	-0.09108163	188.58728	-0.24668942	0.07639366	13.0
72	484.77054	317.29373	903.7024	43.189007	558.8571	70.70884	12.360053	107.27803	-12.17396	360000	-0.13825141	287.91687	-0.30809447	0.047807455	79.0
73	219.29765	194.88237	558.3727	23.361076	269.22223	73.70606	10.994977	128.19614	-4.4486027	365000	-0.13098122	368.68143	-0.36912307	0.018050257	79.0
74	530.73444	333.39206	911.3037	25.619907	664.8571	68.22558	10.101034	107.70049	17.86995	370000	-0.08198323	257.65646	-0.3629572	0.075535074	10.0
75	488.16064	194.68088	699.66284	169.76007	580.8333	78.35471	11.847253	118.390656	-11.244577	375000	-0.13512217	320.6549	-0.44025156	0.03409	79.0
76	351.5569	274.6389	799.06665	19.284061	427.42856	66.8326	12.030687	105.2878	-88.5158	380000	-0.08847365	215.4922	-0.42185333	0.07570241	12.0
77	572.74176	260.7727	804.2547	47.60604	819.3333	64.3697	15.527879	104.36228	-3.817779	385000	-0.13534118	200.9911	-0.46454912	0.051852014	79.0
78	368.1049	166.62186	594.0067	147.99704	537.7143	66.824776	16.514687	118.92786	-8.75438	390000	-0.12807913	235.57555	-0.5328407	0.02119694	79.0
79	348.32498	216.75024	693.34503	42.857433	498.16666	60.964874	14.26523	113.39414	-23.109806	395000	-0.1037842	197.21484	-0.5418084	0.075474694	21.0
80	527.4139	276.97745	872.8037	131.05537	640.5714	68.44662	14.227605	120.228355	-30.651888	400000	-0.13618058	251.186	-0.6444243	0.056234267	79.0
81	374.8894	311.28735	812.4789	17.628195	546.3333	65.226585	18.086342	127.20673	-2.4931269	405000	-0.12618893	107.6697	-0.68000007	0.034184836	79.0
82	502.63785	213.62453	919.9693	218.16862	636.1429	68.157	16.205408	106.77311	-1.421478	410000	-0.12520476	289.43005	-0.75452644	0.042219453	79.0
83	443.0702	339.68762	906.167	62.351265	591.6667	71.49096	17.361452	128.28748	-3.7962275	415000	-0.13365161	157.39699	-0.8246394	0.032475457	79.0
84	556.34143	194.10052	762.3344	278.99448	700.4	73.69045	17.17847	111.39334	5.733959	420000	-0.13354644	247.43214	-0.8615258	0.056993738	79.0
85	430.84326	253.29932	925.12274	200.8336	524.0	77.57126	16.809156	132.40012	-35.53564	425000	-0.12355028	315.55338	-0.9287873	0.029239856	79.0
86	495.21216	283.17694	922.24524	12.897664	659.3333	67.4273	17.35031	129.36363	-27.376436	430000	-0.12598589	176.6285	-0.95068026	0.05737144	79.0
