Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	PolicyLoss	ValueLoss	Entropy	AvgKL	StopIter
87	428.39493	5.34223	438.61746	417.79053	148.43333	163.1746	57.520943	212.47461	1.4732394	435000	-0.045688197	2.5454676	-1.6539326	0.0317107	79.0
88	416.3709	51.750633	440.4512	214.26796	145.28125	164.02766	57.62147	213.42625	2.0909185	440000	-0.023567576	415.17804	-1.6556804	0.006004168	79.0
89	431.4081	5.631455	444.87656	418.48297	149.33333	160.20834	55.487823	210.41718	2.3168533	445000	-0.034751046	3.4487765	-1.6992844	0.056857105	79.0
90	428.0805	4.403038	435.5845	416.80426	148.2	163.90268	57.932457	214.54523	1.3595755	450000	-0.04613081	1.8332825	-1.7432369	0.027366187	79.0
91	428.9417	4.7585936	440.81052	418.2903	148.4	163.78664	57.780792	214.3398	1.6095184	455000	-0.04100078	2.9912336	-1.8058308	0.029576413	79.0
92	434.4873	6.2833414	444.9539	423.8579	149.9	164.02852	57.85447	213.38834	1.26548	460000	0.0022004417	2.8255577	-1.8134774	0.080237046	8.0
93	439.0485	6.5954895	457.3136	428.72308	151.73334	165.78676	58.706116	215.78674	1.4961743	465000	-0.033700615	3.5606318	-1.8457555	0.023586588	79.0
94	437.62457	5.7609076	452.3293	427.63672	151.03334	165.76428	58.857677	215.77159	1.5658046	470000	-0.040376153	2.0737839	-1.8976815	0.041277666	79.0
95	441.19666	5.66054	451.48193	427.35974	151.96666	166.22728	58.973232	215.94054	1.6107824	475000	-0.041744746	3.1971352	-1.9305426	0.02211403	79.0
96	442.3581	6.5815597	464.93604	433.79205	152.46666	167.1352	59.21629	217.0814	2.0431156	480000	-0.030929584	3.4400282	-1.9625508	0.03836894	79.0
97	443.75595	5.7874117	461.0169	432.33273	153.0	167.14418	59.411015	216.96281	1.561618	485000	-0.041842036	2.8132038	-2.0011399	0.02529855	79.0
98	444.85547	6.1566787	458.2269	434.93204	153.16667	167.18056	59.439484	216.76213	1.7036985	490000	-0.029355774	3.087307	-2.0233414	0.034699034	79.0
99	448.60867	6.1084113	460.25323	437.73532	154.16667	167.406	59.71358	217.50743	2.3441648	495000	-0.039913192	3.434073	-2.055681	0.038414005	79.0
100	449.07	9.354798	475.2638	436.6519	154.3	168.07608	59.54056	218.01488	2.5899496	500000	-0.042958435	6.0712523	-2.088693	0.028961234	79.0
101	457.04385	7.6491504	476.93915	443.50702	156.36667	167.87405	59.564888	219.07066	2.6249113	505000	-0.04773689	4.395683	-2.146201	0.044951286	79.0
102	455.86523	6.3478518	468.57208	442.51242	156.1	169.7458	60.51805	221.0674	1.8259441	510000	-0.034498848	2.9051056	-2.192435	0.029094238	79.0
103	458.52106	8.675303	475.8812	441.19998	156.96666	169.50725	60.473206	221.24475	1.4245092	515000	-0.04307633	5.0951967	-2.2368042	0.022675933	79.0
104	463.80975	6.406485	478.49728	450.66907	158.2	169.68307	60.141933	221.47168	2.7736058	520000	-0.009064535	3.4885702	-2.2700267	0.07530206	36.0
105	467.90427	8.604453	488.05542	448.20102	159.5	170.2799	60.83841	223.25496	1.829097	525000	0.039056465	3.6795692	-2.273682	0.082288265	1.0
106	467.75296	7.7827454	480.3442	451.75742	159.73334	171.4343	60.89639	224.8474	1.3888448	530000	-0.046235222	3.9226944	-2.3252606	0.021779528	79.0
107	472.73306	7.8996468	488.74918	456.26926	161.06667	170.86926	60.750988	224.45361	2.4743247	535000	-0.03040206	3.4021337	-2.3460536	0.07557786	74.0
108	476.6341	8.077342	498.36176	460.1844	162.53334	171.9354	61.085056	226.67754	2.5560377	540000	0.024701586	3.0585558	-2.3480496	0.12307163	6.0
109	481.60318	10.4138565	499.1121	450.5865	163.83333	171.70485	61.318275	226.40836	2.6572762	545000	0.024797607	4.54541	-2.3574138	0.09798002	6.0
110	486.0891	7.7026925	503.89374	466.304	165.41379	173.00359	61.696793	228.49059	2.5625699	550000	0.04146142	3.1113513	-2.3631687	0.111353636	1.0
111	487.9263	7.734385	506.68893	471.5393	165.8	173.16235	62.100163	228.8824	2.7260125	555000	0.030701105	2.9047112	-2.3670797	0.077521406	6.0
112	490.97577	8.80971	505.72006	475.3052	166.40741	174.06825	61.308308	230.2183	1.9451017	560000	-0.019058324	4.25765	-2.4110496	0.07626356	59.0
113	486.62073	55.32111	514.98883	214.19159	165.5	177.61992	60.2114	230.86238	2.2261276	565000	0.011439764	314.43988	-2.411809	0.1150761	2.0
114	497.88385	8.823905	521.40967	483.10577	168.26923	174.49574	59.230698	230.29288	2.4038517	570000	0.028469153	4.099204	-2.4188175	0.08940986	15.0
